NAICS code,Industry,TRIR,DART,,,
532,Rental and leasing services,3,1.5,1,0.5,1.5
533,Lessors of nonfinancial intangible assets (except copyrighted works),0,0,0,0,0
541,"Professional, scientific, and technical services",0.7,0.3,0.2,0.1,0.4
561,Administrative and support services,1.9,1.2,0.8,0.4,0.7
562,Waste management and remediation services,3.5,2.5,1.6,0.9,1
611,Educational services,1.1,0.5,0.4,0.1,0.6
611,Educational services,1,0.5,0.3,0.2,0.5
611,Educational services,2.4,0.9,0.6,0.2,1.5
621,Ambulatory health care services,2.6,1.4,1.2,0.2,1.2
622,Hospitals,7.6,4.6,3.7,0.9,3
622,Hospitals,8.9,5.7,4.6,1,3.2
622,Hospitals,6.9,3.5,2.8,0.7,3.4
623,Nursing and residential care facilities,11.5,9.3,7.9,1.4,2.2
623,Nursing and residential care facilities,13.7,9.7,8.5,1.2,4
623,Nursing and residential care facilities,10.5,8.8,7.8,1,1.7
624,Social assistance,2.2,1.3,1,0.3,0.9
711,"Performing arts, spectator sports, and related industries",3.6,1.8,1,0.9,1.8
712,"Museums, historical sites, and similar institutions",3.3,1.8,0.9,0.9,1.5
713,"Amusement, gambling, and recreation industries",2.8,1.6,1,0.5,1.2
721,Accommodation,3.2,1.9,1.2,0.7,1.3
722,Food services and drinking places,2.5,1.1,0.8,0.3,1.4
811,Repair and maintenance,1.8,1.2,0.9,0.3,0.6
812,Personal and laundry services,2.5,1.7,1.3,0.4,0.9
813,"Religious, grantmaking, civic, professional, and similar organizations",1.1,0.6,0.4,0.1,0.5
922,"Justice, public order, and safety activities",6.4,4.4,4,0.3,2.1
1111,Oilseed and grain farming,2.8,2.1,1.9,0,0.7
1112,Vegetable and melon farming,4.3,3.1,2,1.1,1.2
1113,Fruit and tree nut farming,5.7,3.6,1.8,1.7,2.1
1114,"Greenhouse, nursery, and floriculture production",4.4,3.1,1.6,1.5,1.3
1119,Other crop farming,3.3,1.8,0.9,0.8,1.5
1121,Cattle ranching and farming,4.9,2.9,2.2,0.8,1.9
1122,Hog and pig farming,6.2,4.5,2.7,1.8,1.7
1123,Poultry and egg production,4.9,3.6,2.5,1.1,1.2
1129,Other animal production,8.4,4.9,3.9,1,3.5
1132,Forest nurseries and gathering of forest products,0,0,0,0,0
1133,Logging,2.6,1.9,1.8,0.1,0.7
1141,Fishing,4.9,4.1,3.7,0,0
1151,Support activities for crop production,4.6,3.1,1.7,1.4,1.5
1152,Support activities for animal production,5.9,4.9,3,1.9,1
1153,Support activities for forestry,2.4,0.8,0.7,0,1.6
2111,Oil and gas extraction,0.5,0.3,0.3,0.1,0.2
2121,Coal mining,3.1,2.3,2.1,0.1,0.8
2122,Metal ore mining,1.8,1.3,0.6,0.6,0.5
2123,Nonmetallic mineral mining and quarrying,1.6,1.1,0.7,0.4,0.5
2131,Support activities for mining,0.9,0.7,0.5,0.1,0.3
2211,"Electric power generation, transmission and distribution",1.5,0.9,0.6,0.3,0.5
2212,Natural gas distribution,1.5,1.1,0.5,0.6,0.5
2213,"Water, sewage and other systems",2.1,1.4,1,0.4,0.7
2213,"Water, sewage and other systems",3.3,2.1,1.2,0.9,1.2
2361,Residential building construction,2.9,1.6,1.3,0.3,1.3
2362,Nonresidential building construction,1.8,1,0.5,0.4,0.8
2371,Utility system construction,1.7,1.2,0.7,0.4,0.6
2372,Land subdivision,0.5,0.4,0,0.3,0.1
2373,"Highway, street, and bridge construction",2.7,1.6,0.9,0.7,1.1
2379,Other heavy and civil engineering construction,1.6,1.3,1.1,0.2,0.3
2381,"Foundation, structure, and building exterior contractors",3.4,2.1,1.4,0.7,1.3
2382,Building equipment contractors,2.7,1.6,1.1,0.5,1.1
2383,Building finishing contractors,2.7,1.9,1.3,0.6,0.8
2389,Other specialty trade contractors,2.3,1.5,1.2,0.3,0.8
3111,Animal food manufacturing,3.1,2,1.1,0.9,1.1
3112,Grain and oilseed milling,3.3,2.4,1.4,1,0.8
3113,Sugar and confectionery product manufacturing,3.6,2.5,1.3,1.2,1.1
3114,Fruit and vegetable preserving and specialty food manufacturing,4.7,3.4,2,1.4,1.3
3115,Dairy product manufacturing,4.5,3.2,1.8,1.4,1.3
3116,Animal slaughtering and processing,6.7,5.7,3.9,1.8,1
3117,Seafood product preparation and packaging,6.8,5.1,4,1.1,1.8
3118,Bakeries and tortilla manufacturing,3.7,2.7,1.5,1.2,1
3119,Other food manufacturing,4.8,3.4,1.9,1.5,1.4
3121,Beverage manufacturing,3.5,2.5,1.2,1.3,1
3122,Tobacco manufacturing,2.5,1.8,1.5,0.3,0.6
3131,"Fiber, yarn, and thread mills",2.3,1.6,0.6,1.1,0.7
3132,Fabric mills,3.7,2.4,1.5,0.9,1.4
3133,Textile and fabric finishing and fabric coating mills,2.5,1.9,1,0.9,0.6
3141,Textile furnishings mills,4,2.7,1,1.7,1.3
3149,Other textile product mills,2.7,1.8,1.2,0.6,1
3151,Apparel knitting mills,2.6,1.5,0.5,1,1.1
3152,Cut and sew apparel manufacturing,1.6,1,0.6,0.4,0.6
3159,Apparel accessories and other apparel manufacturing,1.3,0.8,0,0.6,0.6
3161,Leather and hide tanning and finishing,6.4,5.1,2.6,2.5,1.3
3162,Footwear manufacturing,3.4,2.4,1.3,1,1.1
3169,Other leather and allied product manufacturing,2.4,2,0,1.3,0.5
3211,Sawmills and wood preservation,4.8,3,1.7,1.3,1.8
3212,"Veneer, plywood, and engineered wood product manufacturing",3.7,2.3,1.3,1,1.4
3219,Other wood product manufacturing,5.1,3.1,1.8,1.3,2
3221,"Pulp, paper, and paperboard mills",2.2,1.4,1,0.4,0.7
3222,Converted paper product manufacturing,2.5,1.7,0.9,0.9,0.8
3231,Printing and related support activities,2,1.3,0.8,0.5,0.7
3241,Petroleum and coal products manufacturing,1.2,0.7,0.4,0.3,0.5
3251,Basic chemical manufacturing,1.4,0.9,0.6,0.3,0.5
3252,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",1.6,1,0.8,0.2,0.6
3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2.1,1.1,0.6,0.4,1.1
3254,Pharmaceutical and medicine manufacturing,1.6,1.2,0.7,0.5,0.4
3255,"Paint, coating, and adhesive manufacturing",1.7,1.2,0.7,0.5,0.6
3256,"Soap, cleaning compound, and toilet preparation manufacturing",2,1.1,0.6,0.5,0.8
3259,Other chemical product and preparation manufacturing,2.8,2.1,1.3,0.8,0.7
3261,Plastics product manufacturing,3.5,2.2,1.2,1.1,1.3
3262,Rubber product manufacturing,3.2,2.4,1.2,1.1,0.8
3271,Clay product and refractory manufacturing,3,2.2,1.3,0.9,0.7
3272,Glass and glass product manufacturing,2.9,1.8,0.9,0.9,1.1
3273,Cement and concrete product manufacturing,3.8,2.8,1.5,1.3,1.1
3274,Lime and gypsum product manufacturing,2.1,1.1,0.5,0.6,1
3279,Other nonmetallic mineral product manufacturing,3.3,2,1,1,1.3
3311,Iron and steel mills and ferroalloy manufacturing,2.1,1.4,0.7,0.7,0.8
3312,Steel product manufacturing from purchased steel,3.7,2.1,1,1.1,1.6
3313,Alumina and aluminum production and processing,2.8,1.8,0.9,0.9,1.1
3314,Nonferrous metal (except aluminum) production and processing,3.2,2.1,1.2,0.9,1.1
3315,Foundries,6.4,4.2,2.1,2.1,2.1
3321,Forging and stamping,4,2.3,1.1,1.2,1.6
3322,Cutlery and handtool manufacturing,5.6,2.5,1.1,1.4,3.1
3323,Architectural and structural metals manufacturing,4.5,2.5,1.3,1.2,2
3324,"Boiler, tank, and shipping container manufacturing",3.7,2,1.1,0.9,1.7
3325,Hardware manufacturing,4.1,2.7,1.6,1.1,1.4
3326,Spring and wire product manufacturing,3,2,1.3,0.7,1
3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",3.1,1.8,1.2,0.5,1.4
3328,"Coating, engraving, heat treating, and allied activities",3.6,2.5,1.3,1.2,1.1
3329,Other fabricated metal product manufacturing,2.7,1.6,0.8,0.7,1.1
3331,"Agriculture, construction, and mining machinery manufacturing",3.3,1.9,1,1,1.3
3332,Industrial machinery manufacturing,2.2,1.3,0.8,0.5,1
3333,Commercial and service industry machinery manufacturing,1.6,0.8,0.5,0.4,0.7
3334,"Ventilation, heating, air0conditioning, and commercial refrigeration equipment manufacturing",2.8,1.6,0.7,0.9,1.2
3335,Metalworking machinery manufacturing,2.7,1.4,0.8,0.6,1.3
3336,"Engine, turbine, and power transmission equipment manufacturing",1.8,1.1,0.5,0.6,0.8
3339,Other general purpose machinery manufacturing,2.6,1.5,0.9,0.6,1.1
3341,Computer and peripheral equipment manufacturing,0.4,0.2,0.1,0.1,0.2
3342,Communications equipment manufacturing,0.8,0.6,0.4,0.2,0.3
3343,Audio and video equipment manufacturing,1.6,0.9,0,0.7,0.7
3344,Semiconductor and other electronic component manufacturing,1,0.6,0.4,0.2,0.4
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",0.8,0.5,0.3,0.2,0.3
3346,Manufacturing and reproducing magnetic and optical media,0.5,0.4,0,0.2,0
3351,Electric lighting equipment manufacturing,1.8,1.3,0.8,0.6,0.5
3352,Household appliance manufacturing,2.4,1.4,0.5,0.9,1
3353,Electrical equipment manufacturing,2.3,1.4,0.7,0.7,1
3359,Other electrical equipment and component manufacturing,2.5,1.6,0.9,0.7,1
3361,Motor vehicle manufacturing,5.7,4.1,1.4,2.7,1.7
3362,Motor vehicle body and trailer manufacturing,5.9,2.9,1.3,1.6,3
3363,Motor vehicle parts manufacturing,3,1.8,0.8,1,1.2
3364,Aerospace product and parts manufacturing,1.7,1.1,0.5,0.5,0.6
3365,Railroad rolling stock manufacturing,2.5,1.7,1,0.7,0.8
3366,Ship and boat building,5.3,3.6,2.2,1.4,1.6
3369,Other transportation equipment manufacturing,2.5,1.6,0.8,0.7,0.9
3371,Household and institutional furniture and kitchen cabinet manufacturing,4,2.3,1.3,1,1.7
3372,Office furniture (including fixtures) manufacturing,3.5,2.2,1.1,1.1,1.3
3379,Other furniture related product manufacturing,3.1,2.5,1.1,1.4,0.6
3391,Medical equipment and supplies manufacturing,1.6,0.9,0.4,0.5,0.7
3399,Other miscellaneous manufacturing,2.4,1.5,0.8,0.7,0.9
4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,3.1,2.2,1.1,1.1,0.9
4232,Furniture and home furnishing merchant wholesalers,1.9,1.2,0.7,0.6,0.7
4233,Lumber and other construction materials merchant wholesalers,3.8,2.8,1.6,1.2,0.9
4234,Professional and commercial equipment and supplies merchant wholesalers,0.7,0.4,0.2,0.2,0.2
4235,Metal and mineral (except petroleum) merchant wholesalers,3.5,2.3,1,1.3,1.2
4236,Household appliances and electrical and electronic goods merchant wholesalers,1.2,0.9,0.5,0.4,0.3
4237,"Hardware, and plumbing and heating equipment and supplies merchant wholesalers",1.8,1.3,0.7,0.6,0.5
4238,"Machinery, equipment, and supplies merchant wholesalers",2.2,1.3,0.9,0.5,0.9
4239,Miscellaneous durable goods merchant wholesalers,2.3,1.4,0.9,0.5,0.9
4241,Paper and paper product merchant wholesalers,1.2,0.9,0.6,0.2,0.3
4242,Drugs and druggists' sundries merchant wholesalers,1,0.8,0.7,0.2,0.2
4243,"Apparel, piece goods, and notions merchant wholesalers",1.1,0.8,0.5,0.3,0.3
4244,Grocery and related product merchant wholesalers,4.9,4,2.3,1.7,0.8
4245,Farm product raw material merchant wholesalers,3.1,1.7,1.3,0.4,1.4
4246,Chemical and allied products merchant wholesalers,1.5,1.2,0.7,0.5,0.3
4247,Petroleum and petroleum products merchant wholesalers,1.9,1,0.8,0.2,0.8
4248,"Beer, wine, and distilled alcoholic beverage merchant wholesalers",5.5,4,2.1,1.9,1.4
4249,Miscellaneous nondurable goods merchant wholesalers,2.5,1.7,1.1,0.6,0.8
4411,Automobile dealers,2.7,1.5,1.1,0.3,1.2
4412,Other motor vehicle dealers,2.5,1.5,0.8,0.7,1
4413,"Automotive parts, accessories, and tire stores",3,2.1,1.2,0.9,0.9
4421,Furniture stores,2.5,2,0.8,1.2,0.4
4422,Home furnishings stores,3.1,1.5,1.1,0.4,1.6
4431,Electronics and appliance stores,1.1,0.6,0.5,0.1,0.5
4441,Building material and supplies dealers,4.2,3,1.5,1.5,1.2
4442,Lawn and garden equipment and supplies stores,3.5,2.3,1.2,1.1,1.2
4451,Grocery stores,4.3,3.1,1.8,1.3,1.3
4452,Specialty food stores,1.4,1,0.7,0.3,0.4
4453,"Beer, wine, and liquor stores",1.3,0.9,0.7,0.3,0.3
4461,Health and personal care stores,1.8,1.2,0.7,0.5,0.6
4471,Gasoline stations,1.9,1,0.7,0.3,0.9
4481,Clothing stores,1.4,0.9,0.6,0.3,0.5
4482,Shoe stores,0.8,0.3,0,0.2,0.6
4483,"Jewelry, luggage, and leather goods stores",0.2,0,0,0,0.1
4511,"Sporting goods, hobby, and musical instrument stores",2.3,1.3,0.6,0.7,0.9
4512,Book stores and news dealers,1,0.7,0.4,0.2,0.3
4522,Department stores,3.7,2.2,1.1,1,1.6
4523,"General merchandise stores, including warehouse clubs and supercenters",4.8,3,1.4,1.6,1.8
4531,Florists,1,0.5,0.5,0,0
4532,"Office supplies, stationery, and gift stores",1.2,0.6,0.5,0.1,0.6
4533,Used merchandise stores,3.6,1.9,0.8,1.2,1.7
4539,Other miscellaneous store retailers,3.1,1.6,1,0.6,1.4
4541,Electronic shopping and mail0order houses,1.1,0.9,0.6,0.3,0.3
4542,Vending machine operators,2.4,1.9,1.4,0.6,0.5
4543,Direct selling establishments,3.9,3.2,2.1,1.1,0.7
4811,Scheduled air transportation,4.5,3.6,2.6,1,0.9
4812,Nonscheduled air transportation,1.6,1.2,1,0.2,0.4
4832,Inland water transportation,0,0,0,0,0
4841,General freight trucking,3.2,2.4,1.8,0.6,0.8
4842,Specialized freight trucking,2.8,1.9,1.5,0.5,0.9
4851,Urban transit systems,6.1,4.1,3,1.1,2
4853,Taxi and limousine service,1.8,1.4,1.3,0,0
4854,School and employee bus transportation,2.8,1.7,1.4,0.3,1.2
4855,Charter bus industry,2.7,2.3,2.3,0,0.4
4859,Other transit and ground passenger transportation,3.8,2.8,2.1,0.7,1
4862,Pipeline transportation of natural gas,0.6,0.4,0.2,0,0
4869,Other pipeline transportation,1.7,1.6,1.6,0,0
4881,Support activities for air transportation,3,1.8,1.4,0.4,1.2
4882,Support activities for rail transportation,2.3,1.8,1.3,0.5,0.5
4883,Support activities for water transportation,0,0,0,0,0
4884,Support activities for road transportation,0,0,0,0,0
4885,Freight transportation arrangement,1.3,1.1,0.7,0.3,0.3
4889,Other support activities for transportation,4.4,2.9,1.1,1.7,1.5
4921,Couriers and express delivery services,7.5,5.8,3.1,2.7,1.7
4922,Local messengers and local delivery,3.1,2.1,1.6,0.4,1
4931,Warehousing and storage,4.8,3.9,2.1,1.9,0.9
5111,"Newspaper, periodical, book, and directory publishers",0.6,0.3,0.2,0.1,0.2
5121,Motion picture and video industries,0,0,0,0,0
5122,Sound recording industries,0.6,0.4,0.4,0,0
5151,Radio and television broadcasting,0.6,0.3,0.2,0.1,0.3
5152,Cable and other subscription programming,1.2,0.9,0.6,0.3,0.3
5173,Wired and wireless telecommunications carriers,1.8,1.4,1.2,0.3,0.4
5179,Other telecommunications,1.1,0.9,0.4,0.5,0.2
5191,Other information services,0.1,0,0,0,0
5221,Depository credit intermediation,0.6,0.3,0.3,0,0.3
5222,Nondepository credit intermediation,0.2,0.1,0,0,0.1
5223,Activities related to credit intermediation,0.2,0.1,0.1,0,0.1
5239,Other financial investment activities,0.1,0,0,0,0.1
5241,Insurance carriers,0.2,0.1,0.1,0,0.1
5242,"Agencies, brokerages, and other insurance related activities",0,0,0,0,0
5311,Lessors of real estate,2,1.4,1,0,0.6
5312,Offices of real estate agents and brokers,0.6,0.4,0.3,0,0.2
5313,Activities related to real estate,2.4,1.5,1,0,0.9
5321,Automotive equipment rental and leasing,3.6,1.8,1.2,0.6,1.7
5322,Consumer goods rental,0,0,0,0,0
5323,General rental centers,1.8,1.3,1.2,0,0.5
5324,Commercial and industrial machinery and equipment rental and leasing,1.6,0.7,0.4,0.3,0.9
5411,Legal services,0.2,0.1,0.1,0,0.1
5412,"Accounting, tax preparation, bookkeeping, and payroll services",0,0.2,0.2,0,0.1
5413,"Architectural, engineering, and related services",0.5,0.3,0.2,0.1,0.3
5414,Specialized design services,0.7,0.2,0.1,0.1,0.5
5415,Computer systems design and related services,0.1,0.1,0,0,0
5416,"Management, scientific, and technical consulting services",0.4,0.3,0.2,0.1,0.1
5417,Scientific research and development services,0.9,0.6,0.5,0.1,0.3
5418,"Advertising, public relations, and related services",0.5,0.2,0.1,0.1,0.3
5419,"Other professional, scientific, and technical services",4.9,1,0.6,0.4,3.9
5611,Office administrative services,0.7,0.4,0.3,0.1,0.3
5612,Facilities support services,4.5,3.2,0,0.7,1.3
5613,Employment services,1.3,0.9,0.4,0.4,0.5
5614,Business support services,0.7,0.4,0.3,0.1,0.2
5615,Travel arrangement and reservation services,0.4,0.2,0.2,0,0.2
5616,Investigation and security services,1.4,0.8,0.6,0.2,0.6
5617,Services to buildings and dwellings,2.9,1.9,1.4,0.5,1
5619,Other support services,2.1,1.5,0.8,0.7,0.6
5621,Waste collection,4.7,3.4,2.2,1.2,1.3
5622,Waste treatment and disposal,2.8,2,1.1,0.9,0.8
5629,Remediation and other waste management services,2.4,1.7,1.2,0.5,0.8
6111,Elementary and secondary schools,1.5,0.7,0.5,0.2,0.8
6111,Elementary and secondary schools,2.5,0.9,0.6,0.3,1.6
6112,Junior colleges,0.6,0.2,0.2,0,0.4
6113,"Colleges, universities, and professional schools",1.2,0.5,0.3,0.2,0.7
6113,"Colleges, universities, and professional schools",1,0.5,0.3,0.2,0.5
6114,Business schools and computer and management training,0,0.1,0.1,0,0
6115,Technical and trade schools,0.5,0.4,0.3,0,0.1
6116,Other schools and instruction,0.7,0.5,0.4,0,0.3
6117,Educational support services,0.6,0.3,0.2,0,0.3
6211,Offices of physicians,2.1,0.9,0.8,0.1,1.2
6212,Offices of dentists,1.5,0.4,0.4,0,1.1
6213,Offices of other health practitioners,1.7,1.2,1.1,0.1,0.5
6214,Outpatient care centers,3.5,1.9,1.5,0.4,1.6
6215,Medical and diagnostic laboratories,2,1,0.7,0.2,1.1
6216,Home health care services,3.3,2.3,2,0.3,1
6219,Other ambulatory health care services,6.7,4.3,3.3,1.1,2.4
6221,General medical and surgical hospitals,7.7,4.6,3.7,0.9,3.1
6222,Psychiatric and substance abuse hospitals,7.9,5.5,4.1,1.4,2.4
6223,Specialty (except psychiatric and substance abuse) hospitals,5.9,3.9,3,0.9,1.9
6231,Nursing care facilities (skilled nursing facilities),15.7,13.5,11.9,1.6,2.2
6232,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",5.2,3.4,2.7,0.7,1.8
6233,Continuing care retirement communities and assisted living facilities for the elderly,10.2,7.9,6.2,1.7,2.3
6239,Other residential care facilities,6.9,3.8,2.5,1.3,3.2
6241,Individual and family services,2.1,1.3,1,0.2,0.9
6242,"Community food and housing, and emergency and other relief services",3.8,2,1.6,0.4,1.9
6243,Vocational rehabilitation services,3.3,2.1,1.2,0.9,1.2
6244,Child day care services,1.7,1,0.7,0.3,0.7
7111,Performing arts companies,2.1,0.9,0.7,0.2,1.2
7112,Spectator sports,9.2,4.8,2.2,2.6,0
7113,"Promoters of performing arts, sports, and similar events",1.4,0.6,0.5,0.1,0.8
7114,"Agents and managers for artists, athletes, entertainers, and other public figures",0,0,0,0,0
7131,Amusement parks and arcades,4.4,3,1.2,1.8,1.4
7132,Gambling industries,2.7,1.5,1,0.5,1.3
7139,Other amusement and recreation industries,2.5,1.4,1,0.3,1.2
7211,Traveler accommodation,3.2,1.9,1.2,0.7,1.3
7212,RV (recreational vehicle) parks and recreational camps,3.3,1.4,1,0.4,1.9
7223,Special food services,2,1.2,0.7,0.5,0.7
7224,Drinking places (alcoholic beverages),0.5,0.2,0.2,0,0.3
7225,Restaurants and other eating places,2.6,1.1,0.8,0.3,1.5
8111,Automotive repair and maintenance,1.7,1.1,0.8,0.3,0.6
8112,Electronic and precision equipment repair and maintenance,0.6,0.3,0.2,0.1,0.3
8113,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,2.5,1.7,1.1,0.5,0.8
8114,Personal and household goods repair and maintenance,2.8,2,2,0,0.7
8121,Personal care services,0,0.5,0.5,0,0
8122,Death care services,2.2,1.6,1.1,0.6,0.5
8123,Drycleaning and laundry services,3.5,2.4,1.5,0.9,1.1
8129,Other personal services,4,2.7,0,0.3,1.2
9221,"Justice, public order, and safety activities",6.4,4.4,4,0.3,2.1
11211,"Beef cattle ranching and farming, including feedlots",4.6,2.9,1.9,0.9,1.7
11212,Dairy cattle and milk production,4.9,2.9,2.2,0.7,2
11511,Support activities for crop production,4.6,3.1,1.7,1.4,1.5
21112,Crude petroleum extraction,0.4,0.2,0.2,0,0.1
21113,Natural gas extraction,0.8,0.4,0,0.1,0.4
21211,Coal mining,3.1,2.3,2.1,0.1,0.8
21221,Iron ore mining,1.5,1,0.7,0.3,0.5
21222,Gold ore and silver ore mining,1.3,0.8,0.5,0.3,0.5
21223,"Copper, nickel, lead, and zinc mining",2.1,1.7,0.6,1.1,0.4
21229,Other metal ore mining,3,2.2,1.8,0.5,0.7
21231,Stone mining and quarrying,1.7,1.2,0.7,0.5,0.5
21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",1.5,1,0.6,0.4,0.5
21239,Other nonmetallic mineral mining and quarrying,1.8,1.2,0.9,0.4,0.5
21311,Support activities for mining,0.9,0.7,0.5,0.1,0.3
22111,Electric power generation,1.1,0.7,0.4,0.2,0.4
22112,"Electric power transmission, control, and distribution",1.7,1.1,0.7,0.4,0.6
22131,Water supply and irrigation systems,2.1,1.3,1,0.4,0.7
22132,Sewage treatment facilities,2,1.5,1.2,0,0.5
22133,Steam and air0conditioning supply,3.3,2.1,0,1.2,1.2
23711,Water and sewer line and related structures construction,2.6,1.7,1.2,0.5,0.9
23712,Oil and gas pipeline and related structures construction,0.6,0.3,0.2,0.1,0.3
23713,Power and communication line and related structures construction,1.9,1.4,0.8,0.6,0.5
