NAICS code,Industry,TRIR,DART
311421,Fruit and vegetable canning,4.8,3.5
311422,Specialty canning,2.5,1.7
311423,Dried and dehydrated food manufacturing,7.3,5.2
3115,Dairy product manufacturing,4.8,3.3
31151,Dairy product (except frozen) manufacturing,4.9,3.4
311511,Fluid milk manufacturing,5.1,3.6
311513,Cheese manufacturing,5.4,3.7
311514,"Dry, condensed, and evaporated dairy product manufacturing",2.4,1.4
31152,Ice cream and frozen dessert manufacturing,4.2,2.7
3116,Animal slaughtering and processing,5.9,4.8
31161,Animal slaughtering and processing,5.9,4.8
311611,Animal (except poultry) slaughtering,6.8,5.4
311612,Meat processed from carcasses,5.2,4.3
311613,Rendering and meat byproduct processing,5.6,4.7
311615,Poultry processing,5.7,4.6
3117,Seafood product preparation and packaging,6.5,4.5
3118,Bakeries and tortilla manufacturing,3.9,3
31181,Bread and bakery product manufacturing,3.8,2.8
311811,Retail bakeries,2,1
311812,Commercial bakeries,4.6,3.6
311813,"Frozen cakes, pies, and other pastries manufacturing",5.8,4.3
31182,"Cookie, cracker, and pasta manufacturing",3.9,2.9
311821,Cookie and cracker manufacturing,3.3,2.6
31183,Tortilla manufacturing,5.5,4.6
3119,Other food manufacturing,4.3,3.1
31191,Snack food manufacturing,4.7,3.4
311919,Other snack food manufacturing,4.9,3.5
31192,Coffee and tea manufacturing,2.7,2.1
31194,Seasoning and dressing manufacturing,3.7,2.8
311941,"Mayonnaise, dressing, and other prepared sauce manufacturing",3.7,2.6
311942,Spice and extract manufacturing,3.8,2.9
31199,All other food manufacturing,4.9,3.5
311991,Perishable prepared food manufacturing,6.2,4.4
311999,All other miscellaneous food manufacturing,3.1,2.2
312,Beverage and tobacco product manufacturing,4.2,3
3121,Beverage manufacturing,4.3,3
31211,Soft drink and ice manufacturing,6.3,4.6
312111,Soft drink manufacturing,5.5,4.1
312112,Bottled water manufacturing,10.6,7.4
312113,Ice manufacturing,5.6,4.8
31212,Breweries,2.5,1.7
31213,Wineries,2.9,2
31214,Distilleries,1.8,1.1
3122,Tobacco manufacturing,3.3,2.1
313,Textile mills,2.5,1.6
3131,"Fiber, yarn, and thread mills",1.9,1.2
3132,Fabric mills,3,1.9
31321,Broadwoven fabric mills,3.4,2
31322,Narrow fabric mills and schiffli machine embroidery,2.5,2.3
31323,Nonwoven fabric mills,2.7,1.8
31324,Knit fabric mills,2.5,1.5
3133,Textile and fabric finishing and fabric coating mills,2.3,1.4
31331,Textile and fabric finishing mills,1.7,1.1
31332,Fabric coating mills,3.8,2.3
314,Textile product mills,2.4,1.4
3141,Textile furnishings mills,1.9,1.3
31411,Carpet and rug mills,1.9,1.4
31412,Curtain and linen mills,2,1.1
3149,Other textile product mills,2.9,1.5
31491,Textile bag and canvas mills,3.2,1.8
31499,All other textile product mills,0,0
314999,All other miscellaneous textile product mills,2.3,1
315,Apparel manufacturing,1.7,1.3
3151,Apparel knitting mills,1.4,0.9
31511,Hosiery and sock mills,1.2,0.7
31519,Other apparel knitting mills,1.9,1.3
3152,Cut and sew apparel manufacturing,1.8,1.3
31521,Cut and sew apparel contractors,1.6,1.1
31524,"Women's, girls', and infants' cut and sew apparel manufacturing",1,0.8
31528,Other cut and sew apparel manufacturing,0.9,0.7
316,Leather and allied product manufacturing,4.5,3.1
3161,Leather and hide tanning and finishing,4.1,3.2
3162,Footwear manufacturing,6.5,4.1
3169,Other leather and allied product manufacturing,3,2.2
31699,Other leather and allied product manufacturing,3,2.2
316998,All other leather good and allied product manufacturing,3,2.4
321,Wood product manufacturing,5.4,3.5
3211,Sawmills and wood preservation,5.1,3.5
32111,Sawmills and wood preservation,5.1,3.5
321113,Sawmills,5.3,3.6
321114,Wood preservation,3.5,2.3
3212,"Veneer, plywood, and engineered wood product manufacturing",4.8,3.3
32121,"Veneer, plywood, and engineered wood product manufacturing",4.8,3.3
321211,Hardwood veneer and plywood manufacturing,4.5,3.1
321212,Softwood veneer and plywood manufacturing,4.2,2.9
321213,Engineered wood member (except truss) manufacturing,3.1,1.7
321214,Truss manufacturing,6.7,4.7
321219,Reconstituted wood product manufacturing,2.2,1.5
3219,Other wood product manufacturing,5.7,3.7
32191,Millwork,5.2,3.4
321911,Wood window and door manufacturing,4.9,2.9
321912,"Cut stock, resawing lumber, and planing",6.4,4.6
321918,Other millwork (including flooring),5.2,3.9
32192,Wood container and pallet manufacturing,5.9,4
32199,All other wood product manufacturing,6.3,3.8
321991,Manufactured home (mobile home) manufacturing,7.8,4.5
321992,Prefabricated wood building manufacturing,6.6,4.9
321999,All other miscellaneous wood product manufacturing,4.1,2.2
322,Paper manufacturing,2.5,1.7
3221,"Pulp, paper, and paperboard mills",2.5,1.8
32211,Pulp mills,2.3,1.1
32212,Paper mills,2.7,2
322121,Paper (except newsprint) mills,2.7,2
322122,Newsprint mills,2.3,1.7
32213,Paperboard mills,2.3,1.7
3222,Converted paper product manufacturing,2.5,1.7
32221,Paperboard container manufacturing,2.6,1.7
322211,Corrugated and solid fiber box manufacturing,2.6,1.7
322212,Folding paperboard box manufacturing,3,2
322219,Other paperboard container manufacturing,2,1.5
32222,Paper bag and coated and treated paper manufacturing,2.2,1.4
32223,Stationery product manufacturing,2.2,1.5
32229,Other converted paper product manufacturing,2.6,1.9
322291,Sanitary paper product manufacturing,2.3,1.6
322299,All other converted paper product manufacturing,3,2.4
323,Printing and related support activities,2.1,1.4
3231,Printing and related support activities,2.1,1.4
32311,Printing,2.2,1.4
323111,Commercial printing (except screen and books),2,1.3
323113,Commercial screen printing,2.4,1.5
323117,Books printing,4.1,2.8
32312,Support activities for printing,1.5,1.2
324,Petroleum and coal products manufacturing,1.2,0.7
3241,Petroleum and coal products manufacturing,1.2,0.7
32411,Petroleum refineries,0.5,0.3
32412,"Asphalt paving, roofing, and saturated materials manufacturing",2.2,1.2
324121,Asphalt paving mixture and block manufacturing,2.4,1.4
324122,Asphalt shingle and coating materials manufacturing,2.1,1.1
32419,Other petroleum and coal products manufacturing,2.2,1.5
324191,Petroleum lubricating oil and grease manufacturing,1.3,0.8
324199,All other petroleum and coal products manufacturing,4.3,3.1
325,Chemical manufacturing,2,1.4
3251,Basic chemical manufacturing,1.6,1.1
32512,Industrial gas manufacturing,1,0.8
32513,Synthetic dye and pigment manufacturing,1.9,1.1
32518,Other basic inorganic chemical manufacturing,1.3,1
32519,Other basic organic chemical manufacturing,2.6,1.8
325194,"Cyclic crude, intermediate, and gum and wood chemical manufacturing",1.2,0.8
325199,All other basic organic chemical manufacturing,2.5,1.9
3252,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",1.7,1.1
32521,Resin and synthetic rubber manufacturing,1.5,1
325211,Plastics material and resin manufacturing,1.3,0.9
325212,Synthetic rubber manufacturing,2.7,1.4
32522,Artificial and synthetic fibers and filaments manufacturing,2.2,1.5
3253,"Pesticide, fertilizer, and other agricultural chemical manufacturing",1.9,1.1
32531,Fertilizer manufacturing,2.1,1.1
325311,Nitrogenous fertilizer manufacturing,1.8,1
32532,Pesticide and other agricultural chemical manufacturing,1.7,1.2
3254,Pharmaceutical and medicine manufacturing,1.6,1.1
32541,Pharmaceutical and medicine manufacturing,1.6,1.1
325411,Medicinal and botanical manufacturing,2,1.5
325412,Pharmaceutical preparation manufacturing,1.5,1.1
325414,Biological product (except diagnostic) manufacturing,1.2,0.7
3255,"Paint, coating, and adhesive manufacturing",3.5,1.9
32551,Paint and coating manufacturing,3.5,1.8
32552,Adhesive manufacturing,3.4,2
3256,"Soap, cleaning compound, and toilet preparation manufacturing",3,2.2
32561,Soap and cleaning compound manufacturing,2.4,1.7
325611,Soap and other detergent manufacturing,2.4,1.7
325612,Polish and other sanitation good manufacturing,2.4,1.8
325613,Surface active agent manufacturing,1.6,1.3
32562,Toilet preparation manufacturing,3.7,2.6
3259,Other chemical product and preparation manufacturing,2.5,1.8
32599,All other chemical product and preparation manufacturing,2.3,1.5
325991,Custom compounding of purchased resins,2.4,1.6
325998,All other miscellaneous chemical product and preparation manufacturing,2.4,1.6
326,Plastics and rubber products manufacturing,3.4,2.3
3261,Plastics product manufacturing,3.4,2.3
32611,Plastics packaging materials and unlaminated film and sheet manufacturing,3.5,2.6
326111,Plastics bag and pouch manufacturing,3.3,2.8
326112,Plastics packaging film and sheet (including laminated) manufacturing,3.5,2.3
326113,Unlaminated plastics film and sheet (except packaging) manufacturing,3.8,2.4
32612,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",3,2
326121,Unlaminated plastics profile shape manufacturing,3,1.8
326122,Plastics pipe and pipe fitting manufacturing,2.9,2.1
32613,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",2.9,1.7
32614,Polystyrene foam product manufacturing,3.4,2.4
32615,Urethane and other foam product (except polystyrene) manufacturing,4,2.6
32616,Plastics bottle manufacturing,3,1.5
32619,Other plastics product manufacturing,3.5,2.3
326191,Plastics plumbing fixture manufacturing,6.5,4.3
326199,All other plastics product manufacturing,3.3,2.2
3262,Rubber product manufacturing,3.4,2.4
32621,Tire manufacturing,3.4,2.5
326211,Tire manufacturing (except retreading),3.4,2.6
32622,Rubber and plastics hoses and belting manufacturing,3.1,1.9
32629,Other rubber product manufacturing,3.6,2.5
326291,Rubber product manufacturing for mechanical use,3.8,2.6
326299,All other rubber product manufacturing,3.5,2.4
327,Nonmetallic mineral product manufacturing,4.1,3
3271,Clay product and refractory manufacturing,3,2
32711,"Pottery, ceramics, and plumbing fixture manufacturing",2.4,1.5
32712,Clay building material and refractories manufacturing,3.3,2.4
3272,Glass and glass product manufacturing,3.5,2.4
32721,Glass and glass product manufacturing,3.5,2.4
327211,Flat glass manufacturing,3.2,2.2
327212,Other pressed and blown glass and glassware manufacturing,3.1,1.8
327215,Glass product manufacturing made of purchased glass,3.8,2.6
3273,Cement and concrete product manufacturing,4.9,3.6
32732,Ready-mix concrete manufacturing,4.9,3.9
32733,"Concrete pipe, brick, and block manufacturing",3.9,2
327331,Concrete block and brick manufacturing,3.9,2.2
32739,Other concrete product manufacturing,5.8,4.3
3274,Lime and gypsum product manufacturing,3.1,2.2
32742,Gypsum product manufacturing,3.5,2.7
3279,Other nonmetallic mineral product manufacturing,3.7,2.6
32791,Abrasive product manufacturing,4.3,2.9
32799,All other nonmetallic mineral product manufacturing,3.6,2.6
327991,Cut stone and stone product manufacturing,4.7,3.7
327993,Mineral wool manufacturing,1.9,1.2
331,Primary metal manufacturing,4.1,2.5
3311,Iron and steel mills and ferroalloy manufacturing,2.8,1.7
3312,Steel product manufacturing from purchased steel,3.4,2.1
33121,Iron and steel pipe and tube manufacturing from purchased steel,4.2,2.6
33122,Rolling and drawing of purchased steel,2.8,1.8
331221,Rolled steel shape manufacturing,2.5,1.6
3313,Alumina and aluminum production and processing,2.8,1.9
33131,Alumina and aluminum production and processing,2.8,1.9
331313,Alumina refining and primary aluminum production,4.9,3.4
331314,Secondary smelting and alloying of aluminum,5.1,3.7
331315,"Aluminum sheet, plate, and foil manufacturing",1.7,1
331318,"Other aluminum rolling, drawing, and extruding",2.6,1.7
3314,Nonferrous metal (except aluminum) production and processing,3.9,2.5
33141,Nonferrous metal (except aluminum) smelting and refining,2.8,2
33142,"Copper rolling, drawing, extruding, and alloying",3.9,2.7
33149,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying",4.3,2.6
331491,"Nonferrous metal (except copper and aluminum) rolling, drawing, and extruding",3.9,2.4
331492,"Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)",4.9,2.9
3315,Foundries,6.5,3.6
33151,Ferrous metal foundries,7.5,3.9
331511,Iron foundries,8.1,4.2
331512,Steel investment foundries,5.7,2.7
331513,Steel foundries (except investment),7,3.9
33152,Nonferrous metal foundries,5.3,3.3
331523,Nonferrous metal die-casting foundries,5.7,3.4
331524,Aluminum foundries (except die-casting),5.9,3.8
331529,Other nonferrous metal foundries (except die-casting),3.8,2.3
332,Fabricated metal product manufacturing,3.6,2
3321,Forging and stamping,4.2,2.6
33211,Forging and stamping,4.2,2.6
332111,Iron and steel forging,4.7,3.1
332112,Nonferrous forging,4.8,4
332117,Powder metallurgy part manufacturing,3.8,2.9
332119,"Metal crown, closure, and other metal stamping (except automotive)",4.2,2.3
3322,Cutlery and handtool manufacturing,4.4,2.3
33221,Cutlery and handtool manufacturing,4.4,2.3
332216,Saw blade and handtool manufacturing,4,2.1
3323,Architectural and structural metals manufacturing,4.2,2.3
33231,Plate work and fabricated structural product manufacturing,4.5,2.5
332311,Prefabricated metal building and component manufacturing,5.6,3.1
332312,Fabricated structural metal manufacturing,4.2,2.3
332313,Plate work manufacturing,4.4,2.5
33232,Ornamental and architectural metal products manufacturing,4,2.2
332321,Metal window and door manufacturing,3.4,2
332322,Sheet metal work manufacturing,4.3,2.1
332323,Ornamental and architectural metal work manufacturing,3.9,2.7
3324,"Boiler, tank, and shipping container manufacturing",3.6,2.1
33241,Power boiler and heat exchanger manufacturing,3.1,1
33242,Metal tank (heavy gauge) manufacturing,3.8,2.2
33243,"Metal can, box, and other metal container (light gauge) manufacturing",3.7,2.5
332431,Metal can manufacturing,2.7,1.4
332439,Other metal container manufacturing,5.4,4.2
3325,Hardware manufacturing,4,2.5
3326,Spring and wire product manufacturing,3.9,2.7
33261,Spring and wire product manufacturing,3.9,2.7
332613,Spring manufacturing,3.9,2.3
332618,Other fabricated wire product manufacturing,3.9,2.9
3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",3.1,1.4
33271,Machine shops,3,1.3
33272,"Turned product and screw, nut, and bolt manufacturing",3.3,1.8
332721,Precision turned product manufacturing,3.5,1.9
332722,"Bolt, nut, screw, rivet, and washer manufacturing",3.1,1.8
3328,"Coating, engraving, heat treating, and allied activities",4.1,2.7
33281,"Coating, engraving, heat treating, and allied activities",4.1,2.7
332811,Metal heat treating,3.1,2.2
332812,"Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers",4.2,2.8
332813,"Electroplating, plating, polishing, anodizing, and coloring",4.3,2.9
3329,Other fabricated metal product manufacturing,2.9,1.5
33291,Metal valve manufacturing,2.4,1.4
332911,Industrial valve manufacturing,2.3,1.4
332912,Fluid power valve and hose fitting manufacturing,2.5,1.1
33299,All other fabricated metal product manufacturing,3.1,1.6
332991,Ball and roller bearing manufacturing,2.2,1.4
332992,Small arms ammunition manufacturing,2,1
332994,"Small arms, ordnance, and ordnance accessories manufacturing",2.8,1.3
332996,Fabricated pipe and pipe fitting manufacturing,2.9,1.7
332999,All other miscellaneous fabricated metal product manufacturing,3.8,1.9
333,Machinery manufacturing,2.8,1.6
3331,"Agriculture, construction, and mining machinery manufacturing",3.8,2.3
33311,Agricultural implement manufacturing,4.5,2.7
333111,Farm machinery and equipment manufacturing,4.7,2.9
333112,Lawn and garden tractor and home lawn and garden equipment manufacturing,4,2.3
33312,Construction machinery manufacturing,4.8,2.7
33313,Mining and oil and gas field machinery manufacturing,1.5,1.1
333131,Mining machinery and equipment manufacturing,2.7,1.5
333132,Oil and gas field machinery and equipment manufacturing,1.3,1
3332,Industrial machinery manufacturing,2.4,1.3
33324,Industrial machinery manufacturing,2.4,1.3
333241,Food product machinery manufacturing,3.1,1.7
333242,Semiconductor machinery manufacturing,0.5,0.3
333243,"Sawmill, woodworking, and paper machinery manufacturing",3.3,1.3
333244,Printing machinery and equipment manufacturing,2.1,1.5
333249,Other industrial machinery manufacturing,2.9,1.5
3333,Commercial and service industry machinery manufacturing,2.4,1.4
33331,Commercial and service industry machinery manufacturing,2.4,1.4
333314,Optical instrument and lens manufacturing,1.2,0.8
333318,Other commercial and service industry machinery manufacturing,2.9,1.5
3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",2.9,1.8
33341,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",2.9,1.8
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,3,2
333414,Heating equipment (except warm air furnaces) manufacturing,4.7,2.7
333415,Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing,2.5,1.6
3335,Metalworking machinery manufacturing,2.7,1.3
33351,Metalworking machinery manufacturing,2.7,1.3
333511,Industrial mold manufacturing,2.2,1.1
333514,"Special die and tool, die set, jig, and fixture manufacturing",3.1,1.3
333515,Cutting tool and machine tool accessory manufacturing,2.8,2.4
333517,Machine tool manufacturing,2.6,1.2
3336,"Engine, turbine, and power transmission equipment manufacturing",2.4,1.5
33361,"Engine, turbine, and power transmission equipment manufacturing",2.4,1.5
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",4.1,2.4
333613,Mechanical power transmission equipment manufacturing,3.8,2.5
333618,Other engine equipment manufacturing,1.9,1.1
3339,Other general purpose machinery manufacturing,2.5,1.5
33391,Pump and compressor manufacturing,2.3,1.5
333912,Air and gas compressor manufacturing,2.2,1.6
333914,"Measuring, dispensing, and other pumping equipment manufacturing",2.4,1.4
33392,Material handling equipment manufacturing,3.5,2.2
333921,Elevator and moving stairway manufacturing,1.9,1
333922,Conveyor and conveying equipment manufacturing,3.7,2.3
333924,"Industrial truck, tractor, trailer, and stacker machinery manufacturing",4,2.5
33399,All other general purpose machinery manufacturing,1.9,1.1
333992,Welding and soldering equipment manufacturing,2.6,1.2
333993,Packaging machinery manufacturing,1.8,1.1
333994,Industrial process furnace and oven manufacturing,1.9,1.2
333996,Fluid power pump and motor manufacturing,1.5,0.8
333999,All other miscellaneous general purpose machinery manufacturing,1.7,1.1
334,Computer and electronic product manufacturing,0.9,0.6
3341,Computer and peripheral equipment manufacturing,0.3,0.2
33411,Computer and peripheral equipment manufacturing,0.3,0.2
334111,Electronic computer manufacturing,0.2,0.1
334112,Computer storage device manufacturing,0.5,0.3
334118,Computer terminal and other computer peripheral equipment manufacturing,0.3,0.2
3342,Communications equipment manufacturing,0.8,0.6
33422,Radio and television broadcasting and wireless communications equipment manufacturing,0.6,0.4
33429,Other communications equipment manufacturing,0.9,0.5
3343,Audio and video equipment manufacturing,0.8,0.4
3344,Semiconductor and other electronic component manufacturing,1.2,0.7
33441,Semiconductor and other electronic component manufacturing,1.2,0.7
334412,Bare printed circuit board manufacturing,2.8,1.6
334413,Semiconductor and related device manufacturing,0.8,0.4
334416,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",3.2,2.5
334417,Electronic connector manufacturing,1.4,1
334418,Printed circuit assembly (electronic assembly) manufacturing,1,0.5
334419,Other electronic component manufacturing,1.5,0.9
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",0.9,0.6
33451,"Navigational, measuring, electromedical, and control instruments manufacturing",0.9,0.6
334510,Electromedical and electrotherapeutic apparatus manufacturing,1.1,0.7
334511,"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing",0.9,0.6
334515,Instrument manufacturing for measuring and testing electricity and electrical signals,0.6,0.3
334516,Analytical laboratory instrument manufacturing,1,0.6
3346,Manufacturing and reproducing magnetic and optical media,0.4,0.2
33461,Manufacturing and reproducing magnetic and optical media,0.4,0.2
334613,Blank magnetic and optical recording media manufacturing,0,0
335,"Electrical equipment, appliance, and component manufacturing",2.4,1.4
3351,Electric lighting equipment manufacturing,3.1,2.4
33511,Electric lamp bulb and part manufacturing,1.3,0.9
33512,Lighting fixture manufacturing,3.4,2.6
335122,"Commercial, industrial, and institutional electric lighting fixture manufacturing",4.2,3.5
335129,Other lighting equipment manufacturing,3.3,1.9
3352,Household appliance manufacturing,2,1.2
33521,Small electrical appliance manufacturing,1.2,0.8
33522,Major household appliance manufacturing,2.2,1.3
3353,Electrical equipment manufacturing,1.9,1.1
33531,Electrical equipment manufacturing,1.9,1.1
335311,"Power, distribution, and specialty transformer manufacturing",2.9,1.9
335312,Motor and generator manufacturing,1.7,1
335313,Switchgear and switchboard apparatus manufacturing,1.9,1.2
335314,Relay and industrial control manufacturing,1.5,0.6
3359,Other electrical equipment and component manufacturing,2.7,1.5
33591,Battery manufacturing,3,1.9
33592,Communication and energy wire and cable manufacturing,2.8,1.6
335921,Fiber optic cable manufacturing,1.3,0.7
33593,Wiring device manufacturing,3.4,1.8
335931,Current-carrying wiring device manufacturing,3.2,1.8
335932,Noncurrent-carrying wiring device manufacturing,3.7,1.9
33599,All other electrical equipment and component manufacturing,1.8,0.7
335991,Carbon and graphite product manufacturing,2.2,0.8
335999,All other miscellaneous electrical equipment and component manufacturing,1.7,0.7
336,Transportation equipment manufacturing,3.7,2.4
3361,Motor vehicle manufacturing,5.6,4
33611,Automobile and light duty motor vehicle manufacturing,5.8,4.2
336111,Automobile manufacturing,5.7,4.4
336112,Light truck and utility vehicle manufacturing,6,3.8
33612,Heavy duty truck manufacturing,4.3,2.9
3362,Motor vehicle body and trailer manufacturing,6.1,3.4
33621,Motor vehicle body and trailer manufacturing,6.1,3.4
336211,Motor vehicle body manufacturing,6,3.9
336212,Truck trailer manufacturing,5.4,2.7
336214,Travel trailer and camper manufacturing,7.2,3.4
3363,Motor vehicle parts manufacturing,3.3,2.1
33631,Motor vehicle gasoline engine and engine parts manufacturing,3.7,2.3
33632,Motor vehicle electrical and electronic equipment manufacturing,2.5,1.6
33633,Motor vehicle steering and suspension components (except spring) manufacturing,2.8,1.9
33634,Motor vehicle brake system manufacturing,2.8,1.4
33635,Motor vehicle transmission and power train parts manufacturing,2.6,1.7
33636,Motor vehicle seating and interior trim manufacturing,3.3,2.2
33637,Motor vehicle metal stamping,4.6,2.5
33639,Other motor vehicle parts manufacturing,3.3,2.3
3364,Aerospace product and parts manufacturing,1.8,1.1
33641,Aerospace product and parts manufacturing,1.8,1.1
336411,Aircraft manufacturing,2.2,1.5
336412,Aircraft engine and engine parts manufacturing,1.3,0.6
336413,Other aircraft parts and auxiliary equipment manufacturing,2.3,1.3
336414,Guided missile and space vehicle manufacturing,0.6,0.3
336415,Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing,1.8,1.4
3365,Railroad rolling stock manufacturing,2.7,1.8
3366,Ship and boat building,6.4,4.7
33661,Ship and boat building,6.4,4.7
336611,Ship building and repairing,6.9,5.3
336612,Boat building,5.1,3.3
